"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"1",0.113374939741025,0.090973416143631,0.0679664329530989,0.144279150024326,0.144811983122196,0.121161587044222,0.148498459793056,0.167791902506754,0.14715689294663,0.0956991061470811,0.0768590599685042,0.090973416143631,0.119393179437247,0.137188346161535,0.144811983122196,0.141984050329438,0.175948137171611,0.167791902506754,0.0837703667351709,0.0956991061470811,0.113374939741025,0.0766114791495192,0.119393179437247,0.144279150024326,0.103642172936326,0.141984050329438,0.148498459793056
"2",0.0650905070833073,0.0502704485830418,0.00154946932614113,0.0818004605852773,0.0609929559826338,0.036001674130908,0.0651565992148102,0.0526611724959691,0.0400152983794542,0.0470018960081501,0.00210500611790249,0.0502704485830418,0.0608939831978034,0.0175147923593885,0.0609929559826338,0.0483470700409351,0.00244200211386914,0.0526611724959691,0.0187607426166522,0.0470018960081501,0.0650905070833073,0.00173332297963205,0.0608939831978034,0.0818004605852773,0.0223843463822347,0.0483470700409351,0.0651565992148103
"3",0.00463639577028761,0.00382198739267367,0.00277672492207156,0.00471943547612286,0.00458990775333185,0.00447291977223923,0.00457165875770663,0.00445325439920872,0.00483144161996393,0.00357102742589194,0.00295348343313829,0.00412635365258344,0.00269050851837436,0.00315255146945695,0.00515104010480714,0.00335940742928,0.0024599330681317,0.00457661515047373,0.00361590547602721,0.00446790782542693,0.00555245172445839,0.00268224580022327,0.00454034131712777,0.00628668932396782,0.00352450710831315,0.00408427758875393,0.00532389931235619
"4",0.0021326105623733,0.00190984064733898,0.000361045126172142,0.00183805036467006,0.00171886935815768,0.00201451141232031,0.00181100324783293,0.00034555231940596,0.00204994623554701,0.00175307466763585,0.000402959343276717,0.00213002608336988,0.000278644868945648,0.00167006937164339,0.00265208384486594,0.00180041433175722,0.00025128810881975,0.00233910694372044,0.00174929531957682,0.00213285707970563,0.00272172646838479,0.000353496754239459,0.00225139095809234,0.00309415932522473,0.00176462166649157,0.00184686906786675,0.00254725246108343
"5",0.0014673956362475,0.0014530975941681,8.86059646338116e-10,0.00146143721647417,0.00146426836876523,0.00145102546667943,0.00145617749888177,4.19052175439091e-07,0.00145629643783068,0.00145214037284501,1.47156997352465e-09,0.00144297985617697,1.07491939206724e-06,0.00144112772697008,1.93395391018875e-09,0.00145222147899515,2.02155640757616e-06,0.00145213889158139,0.00145625685622299,0.00146225069596451,0.00146762778365558,1.05741517302227e-08,0.00146582216968598,0.00146421123195448,0.00145616902046865,0.00146145767117335,0.00146737375165136
"6",0.000593962095736608,1.16910890175709e-11,3.48814794062342e-11,0.000594438591786419,0.000593906107006258,0.000593477935840889,0.000593978572759846,1.23773832120609e-06,0.000593979415311163,0.000593506521421852,1.38421042883178e-10,0.000592514623149625,4.07958752590706e-06,0.000592486044044908,3.12639420364164e-07,0.00059350772345351,1.60020008898213e-06,0.000593506940022972,0.00059397856888772,0.00059448464080795,0.000595000888999686,7.20163757847323e-09,0.000594958209840433,0.000594545870897338,0.000593978568769519,0.000594484640477937,0.000595000828282817
"7",0.000412581484585467,1.84285832769623e-07,1.72427763208392e-10,0.000412686598398634,0.000412577942406384,0.000412263350100033,0.000412581484577083,2.63105494094944e-06,7.46762197247247e-10,0.000412477685235189,2.56489119912551e-10,0.000412265127664061,1.6589381139825e-06,0.0004122633506548,4.01138488515658e-07,0.000412477685281382,4.12331065126562e-06,0.000412265127755896,0.000412582411579622,0.000412689339310963,0.000412796762835887,1.08580742244895e-09,0.00041279409122334,0.00041269296020562,0.000412582411583211,0.000412689339367478,0.000412796762840162
"8",0.000218268134882355,3.07155287380547e-07,1.11944504768244e-09,0.000218442575551682,0.000218249190643157,0.000217728371143286,0.000218268134913584,1.82060305167198e-06,3.19414737672645e-07,0.000218100575618645,1.4274975090001e-09,0.000217737948822514,3.62966334130561e-06,0.000217728397701216,1.45974269458512e-06,0.000218100575831841,3.57220991881318e-06,0.000217737948870755,0.000218273332724896,0.000218458174287536,0.000218646006199226,6.38856427970632e-09,0.00021826898408122,0.000218463257216293,0.000217916457650711,2.23958742987418e-08,0.000218273542336852
"9",0.000175168994584424,1.21456052045055e-06,1.4747047887782e-09,0.000175073644113573,0.000175163335784371,0.000174885295843209,3.83239223744883e-09,4.45052470003517e-06,3.57368338281771e-07,0.000175078022067999,2.0159534155691e-09,0.000174888149492723,4.522057779126e-06,0.000174885264630586,7.61603079549556e-07,0.000174888182609274,5.77735722608986e-06,0.0001748881499704,0.000175170483959453,0.00017526649630903,0.000175363316387448,8.32725506206624e-09,0.000175169126017281,0.000175267968540014,0.00017498213452432,2.02359488801388e-07,0.000175170516632698
"10",0.00013983328836348,5.53406141609727e-07,4.96468019701036e-10,0.000139807983724251,0.00013983224831989,0.000139757541235282,1.36095992447015e-07,5.0651454460983e-06,1.28932786945197e-06,0.000139808780120254,3.4103035217071e-10,0.000139758069679565,6.38268007119881e-06,0.000139757541580265,2.19692200079922e-06,0.000139758066935987,3.3007091382303e-06,5.01979171786409e-09,0.000139833559051775,0.000139858984975137,0.000139884551669975,1.80969198621689e-09,0.000139833305547283,0.000139859249917314,0.000139783367196417,2.76116724515395e-07,0.000139782828700291
"11",0.000130193034991727,1.86383877898215e-06,7.56527005263864e-10,0.000130165193765756,0.000130191960910363,0.000130109667668219,2.98715172796115e-07,1.18947139937808e-05,9.80086916370569e-07,0.00013016600770621,1.21206787681825e-09,0.000130054685115288,5.75782606686608e-06,0.000130109672350884,2.5463839582845e-06,0.000130110215734606,6.58085151417528e-06,2.50741538970398e-07,0.000130193311791829,0.000130165200629807,1.05361323677736e-11,6.60092691293779e-09,0.000130192242124833,0.000130165464013817,0.000130138053531085,1.52501493385548e-06,0.000130137499921485
"12",0.000117864350783498,2.80804247425972e-06,1.24195643675614e-09,0.000117833034562149,0.000117800177753913,5.53967920584639e-09,1.2428398187815e-06,1.04266905526561e-05,2.72972751725298e-06,0.00011783505594703,3.17153550135578e-09,0.000117709461297235,1.02961250479945e-05,0.000117770923455154,4.65087083869978e-06,0.000117772277054447,6.22963677314938e-06,4.15735755623371e-07,0.000117865053683864,0.000117833091988601,2.28563332615483e-08,7.96733332977707e-09,0.000117862450980976,0.000117833077257364,0.000117803558935451,9.09622553653895e-07,0.00011780215243263
"13",8.94864982741477e-05,4.18964694864713e-06,1.05950707044764e-09,8.9480548616755e-05,8.94745276713404e-05,8.9916673945458e-08,5.90066500680731e-07,9.76386962751576e-06,2.73673962248037e-06,8.94806360747584e-05,7.93493582185729e-10,8.94568121516272e-05,8.77186004119973e-06,8.94686659787353e-05,2.40967400057144e-06,8.94687243839879e-05,5.96227307754526e-06,1.29243043332543e-06,8.94865277598535e-05,8.94805492480854e-05,9.85166251790199e-08,2.93060508733322e-09,8.94864120022723e-05,8.94686369018568e-05,8.94746445869015e-05,1.83403721133494e-06,5.63801129843606e-10
"14",0.000419662313897888,1.88609717741912e-05,2.84569688626334e-05,0.00041633431353693,0.000412512340525946,2.43365843210336e-05,2.0226762476065e-05,1.83635820022077e-05,1.91971199298624e-05,0.000417737017577385,4.08173494198712e-05,0.000406166409222301,1.81808714326714e-05,0.000410612649894891,1.85887485470649e-05,0.000411714442263453,1.80221139411126e-05,2.10391208201211e-05,0.000420454965188479,0.000416879157901628,2.22925740108224e-05,4.07639184351344e-05,0.000418522482376246,0.000410708657100847,0.000414735326920826,1.96403107393498e-05,2.8453240677755e-05
"15",0.00040648166912154,2.09028987700327e-05,2.73383374590532e-05,0.000403519305668904,0.000400186966898178,2.50364142509042e-05,2.20826700350568e-05,2.0443532938792e-05,2.12056037567203e-05,0.00040489784684598,4.54305154882092e-05,0.000394532163748176,2.02693226334133e-05,0.000398703475393372,2.0653228236522e-05,0.000399797869069809,2.01172500522712e-05,2.27341156025989e-05,0.000402446695306812,4.53981888843202e-05,2.36600556904893e-05,4.54502434790074e-05,0.000401185686826627,0.000398633586982775,0.000402203657831081,2.15905306103173e-05,2.73369619062285e-05
"16",0.000354411907464979,1.9987471948435e-05,2.42160841756742e-05,0.000353675244609643,0.000352854358811196,2.28861852454762e-05,2.08929570385364e-05,1.96160334172424e-05,2.02279661700721e-05,0.000353874607395634,4.36622652168258e-05,0.000351149417321319,1.94709370803007e-05,0.000352315867122516,1.97862871839091e-05,0.000352497930160859,1.93442657229711e-05,2.13659993247074e-05,0.000353254698593471,3.08333822639447e-05,2.20000593176518e-05,4.36700805088376e-05,0.000351821314137132,4.36193897898064e-05,0.000353223084000526,2.0523845817409e-05,2.42135468314443e-05
"17",0.000330469261985005,1.85702775445734e-05,2.14830892052892e-05,0.000328911707218642,0.000327338130009778,2.06493417820351e-05,1.92622958112032e-05,1.82731131348621e-05,1.87578075800849e-05,0.000329343965298014,4.10885524909652e-05,0.000323944467222409,1.81553327727294e-05,0.000326211513027012,1.84103174380115e-05,4.10172171406367e-05,1.80508640580298e-05,1.9607470234344e-05,0.000328139267521322,2.48205522280856e-05,2.00548840040071e-05,4.11029972052764e-05,0.000325194248309834,2.89510522029196e-05,0.000325477442584284,1.89857598828409e-05,2.14799340492537e-05
"18",0.000331520388450287,1.6763211019483e-05,1.88074804449356e-05,0.000324489822449681,3.75846995311491e-05,1.82607205426114e-05,1.7287486706864e-05,1.65292305586355e-05,1.69073116525907e-05,0.000329781472320299,3.76438798917173e-05,0.000319344276612354,1.64365436638553e-05,0.000319969174627108,1.66384563001768e-05,2.64270794025705e-05,1.63519220574759e-05,1.75381946476609e-05,0.000327593369385984,2.07188797821398e-05,1.78569771253078e-05,3.76781747176862e-05,0.000321665673962741,2.2615405860091e-05,0.000322021553640821,1.70815645349519e-05,1.88034616907284e-05
"19",0.000286214767791176,1.53127050029644e-05,1.68067301437352e-05,0.000285370938274342,2.42859129481844e-05,1.64320996176051e-05,1.57195965195761e-05,1.51262358839549e-05,1.54271873291547e-05,3.44694635163935e-05,3.44632818833048e-05,0.000283835186781924,1.50498231684049e-05,0.000283821113831377,1.52134474935914e-05,2.08013338664981e-05,1.49815511144829e-05,1.5909217507478e-05,0.000284790635319974,1.80060592811831e-05,1.61420607224586e-05,3.44891397570864e-05,0.000284568338759282,1.90536756881218e-05,0.000284689510017369,1.55615164702856e-05,1.68059935865189e-05
"20",0.000279597585276845,1.36848457478533e-05,1.47840458535699e-05,0.00027942127639049,1.8734692877061e-05,1.45217441637179e-05,1.39983689102281e-05,1.35374396351935e-05,1.37743249493761e-05,2.18930025734365e-05,3.11895344803796e-05,0.000279100102305715,1.34761318434517e-05,0.000279083411380137,1.36065723684437e-05,1.7151739839055e-05,1.34212078093145e-05,1.41409347610053e-05,3.11797328960501e-05,1.55718628436369e-05,1.4312339383797e-05,3.11910162757874e-05,0.00027925112069093,1.62032776602884e-05,0.000279279364528501,1.38777777623658e-05,1.47838938930081e-05
"21",0.000269653838426562,1.24661526798576e-05,1.3305175168244e-05,0.000269372590274424,1.57176139589233e-05,1.31129330052921e-05,1.27147032020545e-05,1.23465652707309e-05,1.25378585288911e-05,1.71690490869673e-05,2.86248239235981e-05,0.000268835458692329,1.2296333306616e-05,0.000268818855377116,1.2402890621628e-05,1.48464649768296e-05,1.22510332576777e-05,1.28251748535135e-05,2.00676209944179e-05,1.38548616329467e-05,1.2956049122148e-05,2.86181702892619e-05,0.000269074818171426,1.42678741759654e-05,2.86108741815482e-05,1.26199676277518e-05,1.33050072575535e-05
"22",0.000267646810071783,1.13052411497918e-05,1.1953780928053e-05,2.62507124907102e-05,1.35392942409143e-05,1.18098822542764e-05,1.15031700303211e-05,1.12078204642648e-05,1.1362788399208e-05,1.43370033164632e-05,2.62684046340359e-05,0.000266538635310582,1.11666500451209e-05,0.000266476126622318,1.12539934594363e-05,1.30081207021193e-05,1.11292814224314e-05,1.1589589440794e-05,1.56645815963686e-05,1.23489120433595e-05,1.16909119555484e-05,2.62432748833369e-05,0.000267377301458202,1.26317418353987e-05,1.83273937007044e-05,1.14284750430471e-05,1.19532800942647e-05
