"","x"
"1",0.0121375445646944
"2",0.0157183739370346
"3",0.00383848184973701
"4",0.010011424037662
"5",0.0330032913192219
"6",0.00950653697654702
"7",0.00168687321143135
"8",-0.0191891683202052
"9",0.0159499166002145
"10",-0.0116730064992865
"11",0.0301696606310251
"12",0.101792966929006
"13",0.0437008430060988
"14",0.00942517101449736
"15",0.134382605703548
"16",-0.00131757914490693
"17",0.0412540048744016
"18",-0.00196475741765756
"19",0.042868214042006
"20",-0.00776712275706881
"21",0.00975218217036544
"22",0.0672632453389054
"23",0.0134146963681673
"24",0.00824315505380602
"25",-0.00701489468835015
"26",0.000553659399452844
"27",0.00284637091589013
"28",-0.00375336270896809
"29",-0.0215138661157033
"30",0.00261555338999653
"31",0.0257501652882429
"32",-0.0225032909900469
"33",0.0285307800434764
"34",0.024262974471064
"35",0.107096039168386
"36",-0.0197734377832242
"37",-0.0135815294387858
"38",0.0491448752867422
"39",0.186354704012926
"40",0.106546796372088
"41",0.00719294156188066
"42",-0.0301515062976101
"43",0.0194761104559091
"44",0.0136950321311485
"45",0.0037865640790441
