"","id","trial","x","y","z","out","cond"
"366",8,14,2,2,4,22,"active"
"367",8,15,3,4,3,23,"active"
"368",8,16,3,2,3,17,"active"
"369",8,17,4,4,2,18,"active"
"370",8,18,2,4,3,22,"active"
"371",8,19,4,2,3,18,"active"
"372",8,20,3,2,2,11,"active"
"373",8,21,2,3,4,25,"active"
"374",8,22,4,3,3,21,"active"
"397",9,1,3,4,4,27,"active"
"398",9,2,4,2,4,28,"active"
"399",9,3,2,2,2,10,"active"
"400",9,4,4,3,4,29,"active"
"401",9,5,4,4,2,18,"active"
"402",9,6,2,4,4,24,"active"
"403",9,7,4,4,3,24,"active"
"404",9,8,4,4,4,30,"active"
"405",9,9,4,3,3,23,"active"
"406",9,10,2,2,3,16,"active"
"407",9,11,3,3,3,20,"active"
"408",9,12,3,3,2,14,"active"
"409",9,13,2,4,2,12,"active"
"410",9,14,4,3,2,17,"active"
"411",9,15,3,3,4,26,"active"
"412",9,16,2,3,2,11,"active"
"413",9,17,2,2,4,22,"active"
"414",9,18,2,4,3,18,"active"
"415",9,19,3,4,3,21,"active"
"416",9,20,2,3,4,23,"active"
"417",9,21,2,3,3,17,"active"
"418",9,22,4,2,3,22,"active"
"485",10,1,4,4,4,30,"active"
"486",10,2,4,3,3,21,"active"
"487",10,3,2,3,2,13,"active"
"488",10,4,2,2,3,16,"active"
"489",10,5,4,4,2,18,"active"
"490",10,6,3,4,3,23,"active"
"491",10,7,2,4,4,28,"active"
"492",10,8,3,2,4,23,"active"
"493",10,9,2,4,3,22,"active"
"494",10,10,4,2,4,24,"active"
"495",10,11,2,3,4,25,"active"
"496",10,12,2,2,2,10,"active"
"497",10,13,4,2,3,18,"active"
"498",10,14,4,2,2,12,"active"
"499",10,15,2,4,2,16,"active"
"500",10,16,3,4,2,17,"active"
"501",10,17,4,4,3,24,"active"
"502",10,18,3,3,2,14,"active"
"503",10,19,3,3,4,26,"active"
"504",10,20,4,3,2,15,"active"
"505",10,21,2,2,4,22,"active"
"506",10,22,3,2,2,11,"active"
"529",11,1,2,4,2,12,"active"
"530",11,2,4,4,4,30,"active"
"531",11,3,3,4,4,24,"active"
"532",11,4,4,3,4,29,"active"
"533",11,5,4,4,3,27,"active"
"534",11,6,4,4,2,24,"active"
"535",11,7,4,3,2,23,"active"
"536",11,8,3,3,3,20,"active"
"537",11,9,3,4,3,21,"active"
"538",11,10,3,3,4,23,"active"
"539",11,11,2,4,3,15,"active"
"540",11,12,4,2,2,22,"active"
"541",11,13,4,3,3,26,"active"
"542",11,14,3,2,2,16,"active"
"543",11,15,3,2,3,19,"active"
"544",11,16,2,3,4,17,"active"
"545",11,17,2,3,3,14,"active"
"546",11,18,3,4,2,18,"active"
"547",11,19,3,2,4,22,"active"
"548",11,20,3,3,2,17,"active"
"549",11,21,2,2,4,16,"active"
"550",11,22,4,2,4,28,"active"
"595",12,1,4,4,4,30,"active"
"596",12,2,4,2,3,23,"active"
"597",12,3,2,2,2,10,"active"
"598",12,4,2,2,4,12,"active"
"599",12,5,3,4,4,24,"active"
"600",12,6,4,4,3,29,"active"
"601",12,7,2,4,4,18,"active"
"602",12,8,4,4,2,28,"active"
"603",12,9,3,2,4,18,"active"
"604",12,10,4,2,2,22,"active"
"605",12,11,2,4,2,16,"active"
"606",12,12,4,2,4,24,"active"
"607",12,13,4,3,4,27,"active"
"608",12,14,4,3,2,25,"active"
"609",12,15,3,4,2,22,"active"
"610",12,16,4,3,3,26,"active"
"611",12,17,3,3,2,19,"active"
"612",12,18,2,4,3,17,"active"
"613",12,19,3,4,3,23,"active"
"614",12,20,3,3,4,21,"active"
"615",12,21,2,2,3,11,"active"
"616",12,22,3,2,2,16,"active"
"617",13,1,4,4,4,30,"active"
"618",13,2,4,4,3,29,"active"
"619",13,3,4,4,2,28,"active"
"620",13,4,4,3,3,23,"active"
"621",13,5,3,4,4,27,"active"
